,R-HSA-400253,R-HSA-4839726,R-HSA-1640170,R-HSA-73894,R-HSA-8953897,R-HSA-109582,R-HSA-69306,R-HSA-5205647,R-HSA-162582,R-HSA-5357801,R-HSA-1474244,R-HSA-8953854,R-HSA-112316,R-HSA-5653656,R-HSA-1643685,R-HSA-1266738,R-HSA-1500931,R-HSA-392499,R-HSA-1474165,R-HSA-74160,R-HSA-8963743,R-HSA-382551,R-HSA-1430728,R-HSA-1852241,R-HSA-168256,R-HSA-397014
TCGA-BA-4076-01A,-0.254,0.135,-0.354,0.028,0.093,-0.462,-0.088,-0.232,0.378,0.116,-0.464,-0.645,-0.423,-0.304,-0.063,-0.322,-0.006,0.121,-0.284,-0.396,0.433,0.246,-0.103,-0.051,0.312,-0.228
TCGA-BA-5555-01A,-0.254,0.135,-0.353,0.027,0.092,-0.462,-0.088,-0.231,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.322,-0.006,0.121,-0.284,-0.397,0.433,0.246,-0.102,-0.051,0.312,-0.228
TCGA-BA-6868-01B,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.088,-0.231,0.378,0.116,-0.465,-0.645,-0.423,-0.303,-0.063,-0.323,-0.006,0.12,-0.284,-0.396,0.433,0.247,-0.101,-0.051,0.312,-0.228
TCGA-CN-5360-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.378,0.116,-0.464,-0.645,-0.423,-0.302,-0.063,-0.322,-0.007,0.12,-0.284,-0.396,0.433,0.245,-0.101,-0.051,0.313,-0.228
TCGA-CN-6012-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.121,-0.284,-0.396,0.433,0.245,-0.102,-0.05,0.313,-0.228
TCGA-CN-6023-01A,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.087,-0.23,0.379,0.116,-0.463,-0.645,-0.423,-0.302,-0.062,-0.322,-0.007,0.122,-0.284,-0.396,0.433,0.247,-0.102,-0.051,0.314,-0.228
TCGA-CN-6023-01A,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.087,-0.23,0.379,0.116,-0.463,-0.645,-0.423,-0.302,-0.062,-0.322,-0.007,0.122,-0.284,-0.396,0.433,0.247,-0.102,-0.051,0.314,-0.228
TCGA-CN-6992-01A,-0.254,0.135,-0.353,0.027,0.092,-0.462,-0.089,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.323,-0.007,0.123,-0.284,-0.397,0.433,0.245,-0.101,-0.051,0.312,-0.228
TCGA-CN-A63T-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.321,-0.006,0.12,-0.284,-0.396,0.433,0.247,-0.101,-0.05,0.312,-0.228
TCGA-CN-A63W-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.375,0.116,-0.464,-0.645,-0.424,-0.304,-0.063,-0.322,-0.006,0.12,-0.284,-0.396,0.433,0.247,-0.102,-0.05,0.312,-0.228
TCGA-CR-6474-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.233,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.323,-0.006,0.12,-0.284,-0.397,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CR-7374-01A,-0.254,0.135,-0.353,0.028,0.092,-0.462,-0.088,-0.23,0.375,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.121,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.313,-0.228
TCGA-CV-5430-01A,-0.254,0.135,-0.353,0.027,0.092,-0.463,-0.088,-0.232,0.378,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.121,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CV-5978-01A,-0.254,0.135,-0.354,0.028,0.092,-0.463,-0.087,-0.23,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.323,-0.007,0.122,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CV-7177-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.322,-0.007,0.121,-0.284,-0.397,0.433,0.245,-0.1,-0.05,0.312,-0.228
TCGA-CV-7242-01A,-0.254,0.135,-0.354,0.027,0.092,-0.463,-0.088,-0.232,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.12,-0.284,-0.397,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CV-7430-01A,-0.254,0.135,-0.354,0.027,0.092,-0.463,-0.088,-0.231,0.376,0.116,-0.464,-0.646,-0.423,-0.303,-0.063,-0.322,-0.006,0.121,-0.284,-0.397,0.433,0.246,-0.101,-0.05,0.312,-0.228
TCGA-BA-4078-01A,-0.254,0.135,-0.353,0.028,0.092,-0.462,-0.087,-0.23,0.38,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.323,-0.006,0.121,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.313,-0.228
TCGA-BA-6869-01A,-0.254,0.135,-0.354,0.028,0.092,-0.463,-0.089,-0.232,0.376,0.116,-0.464,-0.645,-0.423,-0.304,-0.063,-0.322,-0.006,0.12,-0.284,-0.397,0.433,0.246,-0.102,-0.051,0.312,-0.228
TCGA-BA-6870-01A,-0.254,0.135,-0.354,0.027,0.093,-0.462,-0.09,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.322,-0.004,0.119,-0.284,-0.396,0.433,0.247,-0.1,-0.05,0.312,-0.228
TCGA-CN-4739-01A,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.087,-0.232,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.322,-0.006,0.12,-0.284,-0.397,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CN-5363-01A,-0.254,0.135,-0.353,0.028,0.092,-0.462,-0.087,-0.231,0.381,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.322,-0.006,0.12,-0.284,-0.396,0.433,0.247,-0.101,-0.05,0.313,-0.228
TCGA-CN-6010-01A,-0.254,0.135,-0.353,0.029,0.092,-0.463,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.322,-0.007,0.122,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CN-6012-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.121,-0.284,-0.396,0.433,0.245,-0.102,-0.05,0.313,-0.228
TCGA-CN-6988-01A,-0.254,0.135,-0.354,0.028,0.092,-0.463,-0.088,-0.232,0.375,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.321,-0.007,0.121,-0.284,-0.397,0.433,0.245,-0.102,-0.051,0.312,-0.228
TCGA-CN-6988-01A,-0.254,0.135,-0.354,0.028,0.092,-0.463,-0.088,-0.232,0.375,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.321,-0.007,0.121,-0.284,-0.397,0.433,0.245,-0.102,-0.051,0.312,-0.228
TCGA-CN-6989-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.379,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.322,-0.007,0.12,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CN-6997-01A,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.087,-0.231,0.377,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.322,-0.007,0.122,-0.284,-0.396,0.433,0.246,-0.102,-0.051,0.313,-0.228
TCGA-CN-A63U-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.376,0.116,-0.465,-0.645,-0.423,-0.304,-0.062,-0.322,-0.006,0.122,-0.284,-0.397,0.433,0.246,-0.101,-0.051,0.313,-0.228
TCGA-CN-A63U-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.376,0.116,-0.465,-0.645,-0.423,-0.304,-0.062,-0.322,-0.006,0.122,-0.284,-0.397,0.433,0.246,-0.101,-0.051,0.313,-0.228
TCGA-CN-A641-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.321,-0.006,0.119,-0.284,-0.396,0.433,0.247,-0.102,-0.051,0.311,-0.228
TCGA-CN-A641-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.321,-0.006,0.119,-0.284,-0.396,0.433,0.247,-0.102,-0.051,0.311,-0.228
TCGA-CR-7398-01A,-0.254,0.135,-0.353,0.028,0.092,-0.463,-0.087,-0.231,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.324,-0.007,0.122,-0.284,-0.396,0.433,0.246,-0.101,-0.051,0.312,-0.228
TCGA-CV-5432-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.087,-0.232,0.377,0.116,-0.464,-0.645,-0.424,-0.303,-0.062,-0.322,-0.006,0.121,-0.284,-0.396,0.433,0.246,-0.102,-0.05,0.31,-0.228
TCGA-CV-5441-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.323,-0.006,0.121,-0.284,-0.397,0.433,0.246,-0.102,-0.051,0.312,-0.228
TCGA-CV-7101-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.089,-0.232,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.063,-0.323,-0.006,0.12,-0.284,-0.396,0.433,0.245,-0.102,-0.05,0.312,-0.228
TCGA-CV-7245-01A,-0.254,0.135,-0.353,0.028,0.092,-0.462,-0.087,-0.232,0.377,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.321,-0.006,0.12,-0.284,-0.397,0.433,0.246,-0.101,-0.05,0.311,-0.228
TCGA-CV-7245-11A,-0.254,0.135,-0.354,0.027,0.092,-0.461,-0.091,-0.232,0.374,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.321,-0.005,0.119,-0.284,-0.397,0.433,0.247,-0.1,-0.05,0.313,-0.228
TCGA-CV-7248-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.088,-0.231,0.376,0.116,-0.464,-0.645,-0.423,-0.303,-0.062,-0.323,-0.007,0.12,-0.284,-0.397,0.433,0.246,-0.1,-0.051,0.312,-0.228
TCGA-CV-7250-01A,-0.254,0.135,-0.354,0.028,0.092,-0.463,-0.087,-0.231,0.377,0.116,-0.465,-0.645,-0.423,-0.303,-0.063,-0.321,-0.007,0.121,-0.284,-0.397,0.433,0.246,-0.101,-0.05,0.311,-0.228
TCGA-CV-7410-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.089,-0.232,0.375,0.116,-0.463,-0.645,-0.423,-0.303,-0.063,-0.323,-0.007,0.12,-0.284,-0.396,0.433,0.247,-0.102,-0.05,0.314,-0.228
TCGA-CV-7421-01A,-0.254,0.135,-0.354,0.028,0.092,-0.462,-0.089,-0.231,0.375,0.116,-0.464,-0.645,-0.423,-0.304,-0.063,-0.322,-0.006,0.121,-0.284,-0.396,0.433,0.246,-0.1,-0.051,0.311,-0.228
