,R-HSA-1474244,R-HSA-1474165,R-HSA-168256,R-HSA-397014,R-HSA-4839726,R-HSA-1266738,R-HSA-400253,R-HSA-5653656,R-HSA-5205647,R-HSA-8963743,R-HSA-69306,R-HSA-1852241,R-HSA-74160,R-HSA-5357801,R-HSA-73894,R-HSA-8953897,R-HSA-8953854,R-HSA-1640170,R-HSA-1500931,R-HSA-112316,R-HSA-162582,R-HSA-392499,R-HSA-1430728,R-HSA-382551,R-HSA-1643685,R-HSA-109582
C3L-00017-02,-0.067,-0.005,-0.023,-0.022,0.032,-0.092,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.047,-0.024,-0.057,-0.04,-0.011,0.122,0.075,-0.093,-0.035,0.063,-0.07
C3L-00102-06,-0.064,-0.005,-0.026,-0.021,0.032,-0.093,-0.057,-0.002,-0.005,0.031,-0.042,-0.059,-0.054,-0.034,-0.039,0.044,-0.024,-0.058,-0.04,-0.01,0.109,0.068,-0.1,-0.031,0.066,-0.062
C3L-00277-03,-0.063,-0.005,-0.026,-0.023,0.032,-0.089,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.067,-0.034,-0.04,0.048,-0.026,-0.061,-0.04,-0.018,0.125,0.082,-0.103,-0.036,0.065,-0.066
C3L-00622-04,-0.069,-0.005,-0.022,-0.02,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.048,-0.034,-0.039,0.042,-0.024,-0.055,-0.04,-0.015,0.106,0.061,-0.106,-0.033,0.062,-0.064
C3L-00819-06,-0.061,-0.005,-0.025,-0.021,0.032,-0.095,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.052,-0.034,-0.041,0.047,-0.024,-0.058,-0.04,-0.008,0.106,0.063,-0.092,-0.032,0.071,-0.064
C3L-00928-03,-0.063,-0.005,-0.025,-0.023,0.032,-0.091,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.058,-0.034,-0.04,0.05,-0.025,-0.059,-0.04,-0.012,0.117,0.079,-0.1,-0.034,0.078,-0.067
C3L-01031-01,-0.068,-0.005,-0.023,-0.021,0.032,-0.091,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.055,-0.034,-0.039,0.051,-0.024,-0.058,-0.04,-0.008,0.117,0.075,-0.1,-0.035,0.074,-0.064
C3L-01032-01,-0.064,-0.005,-0.026,-0.023,0.032,-0.093,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.06,-0.034,-0.037,0.048,-0.023,-0.06,-0.04,-0.013,0.121,0.077,-0.104,-0.034,0.069,-0.07
C3L-01036-01,-0.064,-0.005,-0.025,-0.022,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.062,-0.034,-0.036,0.044,-0.023,-0.06,-0.04,-0.011,0.118,0.083,-0.103,-0.034,0.064,-0.07
C3L-01039-03,-0.065,-0.005,-0.025,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.056,-0.034,-0.037,0.045,-0.024,-0.058,-0.04,-0.005,0.118,0.068,-0.104,-0.033,0.051,-0.065
C3L-01039-03,-0.064,-0.005,-0.027,-0.022,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.061,-0.034,-0.038,0.044,-0.024,-0.059,-0.04,-0.007,0.115,0.073,-0.102,-0.033,0.055,-0.065
C3L-01039-03,-0.064,-0.005,-0.025,-0.022,0.032,-0.09,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.057,-0.034,-0.037,0.047,-0.025,-0.059,-0.04,-0.014,0.118,0.073,-0.106,-0.035,0.054,-0.066
C3L-01039-03,-0.064,-0.005,-0.025,-0.022,0.032,-0.09,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.057,-0.034,-0.037,0.047,-0.025,-0.059,-0.04,-0.014,0.118,0.073,-0.106,-0.035,0.054,-0.066
C3L-01039-05,-0.068,-0.006,-0.023,-0.018,0.032,-0.088,-0.056,0.001,-0.004,0.033,-0.042,-0.062,-0.037,-0.034,-0.038,0.053,-0.027,-0.051,-0.041,-0.022,0.106,0.042,-0.08,-0.029,0.057,-0.067
C3L-01039-05,-0.068,-0.006,-0.024,-0.02,0.032,-0.093,-0.057,-0.001,-0.005,0.032,-0.042,-0.06,-0.05,-0.034,-0.039,0.042,-0.024,-0.054,-0.04,-0.011,0.113,0.053,-0.097,-0.031,0.051,-0.063
C3L-01052-02,-0.066,-0.006,-0.024,-0.02,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.05,-0.034,-0.04,0.045,-0.024,-0.055,-0.04,-0.009,0.111,0.059,-0.099,-0.033,0.059,-0.064
C3L-01053-01,-0.067,-0.006,-0.024,-0.02,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.06,-0.044,-0.034,-0.039,0.044,-0.024,-0.054,-0.04,-0.015,0.113,0.059,-0.1,-0.035,0.065,-0.065
C3L-01053-01,-0.067,-0.006,-0.024,-0.02,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.06,-0.044,-0.034,-0.039,0.044,-0.024,-0.054,-0.04,-0.015,0.113,0.059,-0.1,-0.035,0.065,-0.065
C3L-01158-01,-0.066,-0.005,-0.019,-0.02,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.042,-0.06,-0.059,-0.034,-0.037,0.046,-0.024,-0.059,-0.04,-0.014,0.118,0.07,-0.101,-0.032,0.062,-0.068
C3L-01160-01,-0.065,-0.005,-0.023,-0.024,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.06,-0.056,-0.035,-0.037,0.046,-0.024,-0.059,-0.04,-0.01,0.114,0.075,-0.109,-0.034,0.052,-0.068
C3L-01328-01,-0.067,-0.006,-0.025,-0.023,0.032,-0.091,-0.057,-0.003,-0.005,0.033,-0.042,-0.06,-0.048,-0.034,-0.04,0.048,-0.025,-0.056,-0.04,-0.01,0.114,0.069,-0.1,-0.036,0.065,-0.066
C3L-01328-03,-0.063,-0.005,-0.022,-0.02,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.06,-0.048,-0.034,-0.04,0.046,-0.024,-0.057,-0.04,-0.011,0.109,0.063,-0.097,-0.033,0.074,-0.066
C3L-01453-04,-0.059,-0.005,-0.021,-0.021,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.06,-0.055,-0.034,-0.04,0.044,-0.023,-0.058,-0.04,-0.026,0.1,0.08,-0.092,-0.028,0.085,-0.063
C3L-02604-01,-0.062,-0.005,-0.028,-0.022,0.032,-0.088,-0.057,-0.003,-0.005,0.033,-0.041,-0.059,-0.064,-0.034,-0.038,0.049,-0.024,-0.061,-0.04,-0.014,0.116,0.073,-0.099,-0.035,0.058,-0.065
C3L-02606-04,-0.065,-0.005,-0.025,-0.02,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.047,-0.034,-0.039,0.045,-0.024,-0.055,-0.04,-0.015,0.112,0.059,-0.099,-0.034,0.062,-0.064
C3L-02610-04,-0.071,-0.006,-0.025,-0.019,0.032,-0.091,-0.057,-0.001,-0.005,0.032,-0.042,-0.059,-0.037,-0.034,-0.04,0.044,-0.025,-0.051,-0.041,-0.023,0.112,0.047,-0.097,-0.032,0.047,-0.061
C3L-02701-02,-0.061,-0.005,-0.027,-0.022,0.032,-0.091,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.056,-0.034,-0.039,0.046,-0.025,-0.059,-0.04,-0.012,0.115,0.071,-0.1,-0.037,0.067,-0.065
C3L-02809-06,-0.059,-0.005,-0.026,-0.022,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.055,-0.034,-0.042,0.045,-0.025,-0.061,-0.04,-0.017,0.119,0.074,-0.078,-0.031,0.074,-0.063
C3L-02888-02,-0.065,-0.006,-0.024,-0.021,0.032,-0.09,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.053,-0.034,-0.04,0.048,-0.024,-0.057,-0.04,-0.016,0.108,0.068,-0.094,-0.034,0.068,-0.066
C3L-02888-02,-0.065,-0.006,-0.024,-0.021,0.032,-0.09,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.053,-0.034,-0.04,0.048,-0.024,-0.057,-0.04,-0.016,0.108,0.068,-0.094,-0.034,0.068,-0.066
C3L-02888-02,-0.063,-0.006,-0.024,-0.022,0.032,-0.087,-0.057,-0.002,-0.005,0.033,-0.041,-0.059,-0.059,-0.034,-0.039,0.048,-0.025,-0.059,-0.04,-0.018,0.104,0.07,-0.095,-0.034,0.065,-0.068
C3L-02897-01,-0.059,-0.005,-0.028,-0.023,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.04,0.047,-0.024,-0.06,-0.04,-0.005,0.113,0.082,-0.1,-0.038,0.075,-0.066
C3L-02899-01,-0.06,-0.005,-0.027,-0.024,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.061,-0.034,-0.04,0.048,-0.024,-0.061,-0.04,-0.016,0.11,0.081,-0.096,-0.037,0.071,-0.066
C3L-02956-01,-0.062,-0.006,-0.02,-0.022,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.055,-0.034,-0.04,0.047,-0.025,-0.059,-0.04,-0.022,0.105,0.065,-0.098,-0.035,0.071,-0.067
C3L-02956-01,-0.062,-0.006,-0.02,-0.022,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.055,-0.034,-0.04,0.047,-0.025,-0.059,-0.04,-0.022,0.105,0.065,-0.098,-0.035,0.071,-0.067
C3L-02956-01,-0.062,-0.006,-0.02,-0.022,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.055,-0.034,-0.04,0.047,-0.025,-0.059,-0.04,-0.022,0.105,0.065,-0.098,-0.035,0.071,-0.067
C3L-02956-06,-0.06,-0.006,-0.022,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.051,-0.034,-0.041,0.044,-0.025,-0.059,-0.04,-0.019,0.099,0.07,-0.099,-0.034,0.074,-0.069
C3L-02956-06,-0.06,-0.006,-0.022,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.051,-0.034,-0.041,0.044,-0.025,-0.059,-0.04,-0.019,0.099,0.07,-0.099,-0.034,0.074,-0.069
C3L-03123-04,-0.075,-0.006,-0.025,-0.019,0.032,-0.089,-0.057,-0.001,-0.005,0.032,-0.042,-0.059,-0.047,-0.034,-0.039,0.039,-0.024,-0.051,-0.041,-0.025,0.118,0.044,-0.102,-0.033,0.045,-0.061
C3L-03348-03,-0.061,-0.005,-0.025,-0.022,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.04,0.046,-0.025,-0.062,-0.04,-0.011,0.114,0.077,-0.092,-0.032,0.068,-0.064
C3L-03388-02,-0.059,-0.005,-0.027,-0.023,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.041,-0.059,-0.059,-0.034,-0.039,0.046,-0.024,-0.059,-0.04,-0.012,0.108,0.082,-0.097,-0.037,0.072,-0.061
C3L-03394-03,-0.062,-0.005,-0.026,-0.021,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.058,-0.034,-0.041,0.041,-0.024,-0.059,-0.04,-0.006,0.106,0.071,-0.085,-0.031,0.06,-0.065
C3L-03622-02,-0.063,-0.005,-0.022,-0.021,0.032,-0.091,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.054,-0.034,-0.04,0.045,-0.024,-0.059,-0.04,-0.013,0.105,0.072,-0.094,-0.037,0.063,-0.068
C3L-03629-02,-0.062,-0.005,-0.027,-0.021,0.032,-0.092,-0.057,-0.003,-0.005,0.032,-0.042,-0.059,-0.057,-0.034,-0.04,0.047,-0.025,-0.06,-0.04,-0.009,0.12,0.077,-0.093,-0.034,0.062,-0.065
C3L-03629-02,-0.062,-0.005,-0.027,-0.021,0.032,-0.092,-0.057,-0.003,-0.005,0.032,-0.042,-0.059,-0.057,-0.034,-0.04,0.047,-0.025,-0.06,-0.04,-0.009,0.12,0.077,-0.093,-0.034,0.062,-0.065
C3L-03629-02,-0.059,-0.005,-0.027,-0.022,0.032,-0.093,-0.057,-0.003,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.039,0.046,-0.024,-0.061,-0.04,-0.01,0.123,0.078,-0.096,-0.033,0.062,-0.065
C3L-03629-02,-0.059,-0.005,-0.027,-0.022,0.032,-0.093,-0.057,-0.003,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.039,0.046,-0.024,-0.061,-0.04,-0.01,0.123,0.078,-0.096,-0.033,0.062,-0.065
C3L-04080-06,-0.069,-0.005,-0.02,-0.021,0.032,-0.092,-0.057,-0.002,-0.005,0.031,-0.041,-0.06,-0.059,-0.034,-0.037,0.042,-0.024,-0.059,-0.04,-0.021,0.122,0.072,-0.075,-0.037,0.063,-0.066
C3L-04473-01,-0.061,-0.005,-0.022,-0.022,0.032,-0.091,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.053,-0.034,-0.04,0.043,-0.024,-0.058,-0.04,-0.01,0.105,0.07,-0.094,-0.034,0.072,-0.065
C3N-00198-06,-0.062,-0.005,-0.026,-0.021,0.032,-0.095,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.054,-0.034,-0.042,0.046,-0.024,-0.059,-0.04,-0.026,0.13,0.08,-0.085,-0.03,0.074,-0.068
C3N-00302-02,-0.062,-0.005,-0.029,-0.022,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.041,-0.059,-0.066,-0.034,-0.039,0.048,-0.025,-0.062,-0.04,-0.007,0.117,0.079,-0.1,-0.034,0.079,-0.068
C3N-00303-01,-0.063,-0.005,-0.022,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.061,-0.034,-0.04,0.043,-0.023,-0.06,-0.04,-0.024,0.107,0.083,-0.096,-0.031,0.071,-0.068
C3N-00436-05,-0.065,-0.005,-0.021,-0.02,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.044,-0.034,-0.041,0.048,-0.025,-0.056,-0.04,-0.017,0.103,0.058,-0.099,-0.033,0.064,-0.064
C3N-00511-03,-0.062,-0.005,-0.027,-0.022,0.032,-0.091,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.057,-0.034,-0.038,0.049,-0.024,-0.06,-0.04,-0.01,0.119,0.085,-0.099,-0.032,0.076,-0.065
C3N-00517-01,-0.067,-0.005,-0.022,-0.02,0.032,-0.091,-0.057,-0.002,-0.005,0.032,-0.042,-0.06,-0.042,-0.034,-0.042,0.044,-0.024,-0.053,-0.041,-0.012,0.11,0.055,-0.106,-0.033,0.068,-0.063
C3N-01382-01,-0.063,-0.005,-0.025,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.055,-0.034,-0.04,0.044,-0.024,-0.057,-0.04,-0.012,0.107,0.072,-0.106,-0.036,0.073,-0.066
C3N-01385-02,-0.065,-0.006,-0.023,-0.021,0.032,-0.092,-0.057,-0.003,-0.005,0.032,-0.042,-0.059,-0.052,-0.034,-0.04,0.046,-0.025,-0.058,-0.04,-0.012,0.1,0.07,-0.105,-0.035,0.074,-0.065
C3N-01385-02,-0.071,-0.006,-0.022,-0.02,0.032,-0.092,-0.057,-0.001,-0.005,0.032,-0.042,-0.059,-0.045,-0.034,-0.04,0.04,-0.025,-0.054,-0.041,-0.018,0.103,0.053,-0.101,-0.034,0.055,-0.061
C3N-01385-02,-0.071,-0.006,-0.022,-0.02,0.032,-0.092,-0.057,-0.001,-0.005,0.032,-0.042,-0.059,-0.045,-0.034,-0.04,0.04,-0.025,-0.054,-0.041,-0.018,0.103,0.053,-0.101,-0.034,0.055,-0.061
C3N-01385-02,-0.066,-0.005,-0.023,-0.021,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.053,-0.034,-0.04,0.044,-0.025,-0.059,-0.04,-0.013,0.102,0.071,-0.102,-0.034,0.066,-0.065
C3N-01385-02,-0.066,-0.005,-0.023,-0.021,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.053,-0.034,-0.04,0.044,-0.025,-0.059,-0.04,-0.013,0.102,0.071,-0.102,-0.034,0.066,-0.065
C3N-01385-05,-0.065,-0.006,-0.023,-0.021,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.052,-0.034,-0.039,0.041,-0.024,-0.058,-0.04,-0.016,0.099,0.064,-0.107,-0.035,0.062,-0.064
C3N-01385-05,-0.066,-0.005,-0.024,-0.021,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.05,-0.034,-0.039,0.042,-0.024,-0.058,-0.04,-0.012,0.105,0.063,-0.108,-0.034,0.065,-0.064
C3N-01388-03,-0.063,-0.005,-0.026,-0.022,0.032,-0.092,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.062,-0.034,-0.04,0.046,-0.024,-0.059,-0.04,-0.017,0.113,0.077,-0.104,-0.035,0.074,-0.064
C3N-01502-01,-0.06,-0.005,-0.024,-0.021,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.054,-0.034,-0.04,0.045,-0.025,-0.058,-0.04,-0.014,0.108,0.068,-0.092,-0.035,0.065,-0.066
C3N-01715-02,-0.068,-0.005,-0.02,-0.023,0.032,-0.091,-0.057,-0.002,-0.005,0.033,-0.041,-0.059,-0.052,-0.034,-0.039,0.049,-0.024,-0.058,-0.04,-0.006,0.098,0.074,-0.116,-0.033,0.06,-0.07
C3N-01898-04,-0.059,-0.005,-0.022,-0.023,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.045,-0.024,-0.061,-0.04,-0.024,0.1,0.072,-0.103,-0.034,0.066,-0.067
C3N-01898-04,-0.059,-0.005,-0.022,-0.023,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.045,-0.024,-0.061,-0.04,-0.024,0.1,0.072,-0.103,-0.034,0.066,-0.067
C3N-01898-04,-0.059,-0.005,-0.022,-0.023,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.045,-0.024,-0.061,-0.04,-0.024,0.1,0.072,-0.103,-0.034,0.066,-0.067
C3N-01898-04,-0.059,-0.005,-0.022,-0.023,0.032,-0.093,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.045,-0.024,-0.061,-0.04,-0.024,0.1,0.072,-0.103,-0.034,0.066,-0.067
C3N-01898-04,-0.06,-0.005,-0.022,-0.023,0.032,-0.094,-0.057,-0.003,-0.005,0.033,-0.042,-0.059,-0.059,-0.034,-0.04,0.046,-0.025,-0.062,-0.04,-0.018,0.104,0.072,-0.105,-0.033,0.067,-0.067
